id,tag,monat,jahr,quelle,folio,verkaeufer_nachname,verkaeufer_vorname,verkaeufer_institution,verkaeufer_herkunft,kaeufer_nachname,kaeufer_vorname,kaeufer_institution,kaeufer_herkunft
1,11,1,1647,StA Krems VIII.2/8 (1647),2r,Wilhelm,Christian,,Breslau,,,,
2,11,1,1647,StA Krems VIII.2/8 (1647),2r,Geisler,Christoph,,Krakau,,,,
3,11,1,1647,StA Krems VIII.2/8 (1647),2r,Stibllechner,Matthias,,Krakau,,,,
4,17,1,1647,StA Krems VIII.2/8 (1647),2r,Epstein,Abraham Levi,,Stein,,,,
5,13,2,1647,StA Krems VIII.2/8 (1647),2v,Epstein,Abraham Levi,,Stein,,,,
6,27,2,1647,StA Krems VIII.2/8 (1647),2v,Gsellhofer,Wolf Sebald,,Steinbach,,,,
7,2,3,1647,StA Krems VIII.2/8 (1647),3r,Stibllechner,Matthias,,Krakau,,,,
8,2,3,1647,StA Krems VIII.2/8 (1647),3r,Mitler,Adam,,Breslau,,,,
9,10,3,1647,StA Krems VIII.2/8 (1647),3r,,,"Samuel Schmarofsky, Simon Peer und Johann Schmidt",Trebitsch,,,,
10,16,3,1647,StA Krems VIII.2/8 (1647),3r,,,Erasmus und Gottfried Volgnad,Breslau,,,,
11,19,3,1647,StA Krems VIII.2/8 (1647),3r,Stibllechner,Matthias,,Krakau,,,,
12,19,3,1647,StA Krems VIII.2/8 (1647),3v,,,Erasmus und Gottfried Volgnad,Breslau,,,,
13,22,4,1647,StA Krems VIII.2/8 (1647),4r,,,Erasmus und Gottfried Volgnad und Johann Friedrich Hadammer,Breslau,,,,
14,22,4,1647,StA Krems VIII.2/8 (1647),4r,Tredtinger,Aron,,Spitz,,,,
15,22,4,1647,StA Krems VIII.2/8 (1647),4r,Neltl,Valentin,,Neuhaus,,,,
16,22,4,1647,StA Krems VIII.2/8 (1647),4r,Zeislmayr,Simon,,Kirchberg am Walde,,,,
17,22,4,1647,StA Krems VIII.2/8 (1647),4r,Hornperger,Jakob,,Radstadt,,,,
18,3,5,1647,StA Krems VIII.2/8 (1647),5r,Achtmark,Adam,,Steyr,,,,
19,13,5,1647,StA Krems VIII.2/8 (1647),5r,Göz,Lebl,,Krakau,,,,
20,13,5,1647,StA Krems VIII.2/8 (1647),5r,Stibllechner,Matthias,,Krakau,,,,
21,13,5,1647,StA Krems VIII.2/8 (1647),5r,Geisler,Christoph,,Krakau,,,,
22,18,5,1647,StA Krems VIII.2/8 (1647),5r,Tüchler,Matthias,,Regensburg,,,,
23,27,5,1647,StA Krems VIII.2/8 (1647),5r,Peterzoll,Johann Baptist,,Wien,,,,
24,5,7,1647,StA Krems VIII.2/8 (1647),7r,Sipachmayrin,Ursula,,Steyr,,,,
25,3,6,1647,StA Krems VIII.2/8 (1647),6r,Neltl,Valentin,,Neuhaus,,,,
26,6,6,1647,StA Krems VIII.2/8 (1647),6r,Podenbrunner,Adam,,Dietmanns,,,,
27,8,6,1647,StA Krems VIII.2/8 (1647),6r,Geisler,Christoph,,Krakau,,,,
28,8,6,1647,StA Krems VIII.2/8 (1647),6r,Stibllechner,Matthias,,Krakau,,,,
29,18,6,1647,StA Krems VIII.2/8 (1647),6r,Zwenk,Andre,,Neuhaus,,,,
30,22,6,1647,StA Krems VIII.2/8 (1647),6r,Grasner,Oswald,,Gresten,,,,
31,25,6,1647,StA Krems VIII.2/8 (1647),6r,Prauner,Balthasar,,Römerstadt,,,,
32,1,7,1647,StA Krems VIII.2/8 (1647),7r,Strasser,Stephan,,Steinbach,,,,
33,25,6,1647,StA Krems VIII.2/8 (1647),6r,Traumillner,Matthias,,Neuhaus,,,,
34,1,7,1647,StA Krems VIII.2/8 (1647),7r,Piat,Jakob,,Hadersdorf,,,,
35,5,7,1647,StA Krems VIII.2/8 (1647),7r,Hölzl,Johann,,Berchtesgaden,,,,
36,5,7,1647,StA Krems VIII.2/8 (1647),7r,,,Johann Engllohner und Wolf Haidnprunner,Steyr,,,,
37,6,7,1647,StA Krems VIII.2/8 (1647),7r,Pröller,Ludwig,,Linz,,,,
38,6,7,1647,StA Krems VIII.2/8 (1647),7r,Pagge,Johann,,Wien,,,,
39,6,7,1647,StA Krems VIII.2/8 (1647),7r,Herlinger,Joel,,Wien,,,,
40,20,7,1647,StA Krems VIII.2/8 (1647),7v,Wolf,Georg,,Freistadt,,,,
41,20,7,1647,StA Krems VIII.2/8 (1647),7v,Paumgartner,Christoph,,Grünbach,,,,
42,20,7,1647,StA Krems VIII.2/8 (1647),7v,Rangarat,Philipp,,Waidhofen an der Ybbs,,,,
43,21,7,1647,StA Krems VIII.2/8 (1647),7v,Pfister,Bernhard,,Freistadt,,,,
44,21,7,1647,StA Krems VIII.2/8 (1647),7v,,,Kaspar Landmann und Andre Redl,Wien,,,,
45,21,7,1647,StA Krems VIII.2/8 (1647),7v,Dufner,Michael,,Wien,,,,
46,21,7,1647,StA Krems VIII.2/8 (1647),7v,Pagge,Johann,,Wien,,,,
47,22,7,1647,StA Krems VIII.2/8 (1647),7v,Kipferl,Hieronymus,,Linz,,,,
48,22,7,1647,StA Krems VIII.2/8 (1647),7v,Windischgräzer,Michael,,Freistadt,,,,
49,22,7,1647,StA Krems VIII.2/8 (1647),8r,Pröller,Ludwig,,Linz,,,,
50,22,7,1647,StA Krems VIII.2/8 (1647),8r,Rösel,Franz,,Nürnberg,,,,
51,22,7,1647,StA Krems VIII.2/8 (1647),8r,Teufel,Reichard,,Freistadt,,,,
52,22,7,1647,StA Krems VIII.2/8 (1647),8r,Grimer,Johann,,Nürnberg,,,,
53,22,7,1647,StA Krems VIII.2/8 (1647),8r,"Loen, von",Jost,,Wien,,,,
54,22,7,1647,StA Krems VIII.2/8 (1647),8r,,,Niklas d.Ä. und Georg d.J. Zollikofer und Gebrüder,Wien,,,,
55,22,7,1647,StA Krems VIII.2/8 (1647),8r,Pachner,Johann,,Hainfeld,,,,
56,22,7,1647,StA Krems VIII.2/8 (1647),8r,Rangarat,Philipp,,Waidhofen an der Ybbs,,,,
57,22,7,1647,StA Krems VIII.2/8 (1647),8r,Prunner,Kaspar,,Hallein,,,,
58,23,7,1647,StA Krems VIII.2/8 (1647),8r,,Aron,,Langenlois,,,,
59,23,7,1647,StA Krems VIII.2/8 (1647),8v,Schiner,Andre,,Ruprechtschlag,,,,
60,23,7,1647,StA Krems VIII.2/8 (1647),8v,Jungwirt,Wolf,,Wien,,,,
61,23,7,1647,StA Krems VIII.2/8 (1647),8v,Raps,Konrad,,Wien,,,,
62,23,7,1647,StA Krems VIII.2/8 (1647),8v,Pögl,Paul,,Wien,,,,
63,23,7,1647,StA Krems VIII.2/8 (1647),8v,Schuster,Jakob,,Wien,,,,
64,23,7,1647,StA Krems VIII.2/8 (1647),8v,Kipferl,Hieronymus,,Linz,,,,
65,23,7,1647,StA Krems VIII.2/8 (1647),8v,Pröller,Ludwig,,Linz,,,,
66,23,7,1647,StA Krems VIII.2/8 (1647),8v,Rösel,Franz,,Nürnberg,,,,
67,23,7,1647,StA Krems VIII.2/8 (1647),8v,Kiel,Johann,,Nürnberg,,,,
68,23,7,1647,StA Krems VIII.2/8 (1647),8v,Nohan,Johann,,Nürnberg,,,,
69,23,7,1647,StA Krems VIII.2/8 (1647),8v,Lumann,Johann Peter,,Wien,,,,
70,23,7,1647,StA Krems VIII.2/8 (1647),8v,Conigan,Albrecht,,Wien,,,,
71,23,7,1647,StA Krems VIII.2/8 (1647),8v,,,Niklas d.Ä. und Georg d.J. Zollikofer und Gebrüder,Wien,,,,
72,3,1,1701,StA Krems VIII.2/14 (1701),1r,Beykardt,Johann,,Olmütz,,,,
73,3,1,1701,StA Krems VIII.2/14 (1701),1r,,,Gsellhofer und Riemer,Breslau,,,,
74,3,1,1701,StA Krems VIII.2/14 (1701),1r,,,Fruner und Neugepaur,Breslau,,,,
75,4,1,1701,StA Krems VIII.2/14 (1701),1r,Peyer,Joseph,,Troppau,,,,
76,4,1,1701,StA Krems VIII.2/14 (1701),1v,Pock,Martin,,Neisse,,,,
77,4,1,1701,StA Krems VIII.2/14 (1701),1v,Thomasin,Justina,,Troppau,,,,
78,7,1,1701,StA Krems VIII.2/14 (1701),1v,Scheiber,Ulrich,,Littau,,,,
79,7,1,1701,StA Krems VIII.2/14 (1701),1v,Hoda,Ludwig,,Potschatek,,,Kloster,Göttweig
80,7,1,1701,StA Krems VIII.2/14 (1701),1v,Hoda,Ludwig,,Potschatek,,,Kapuzinerkloster ,Krems
81,7,1,1701,StA Krems VIII.2/14 (1701),1v,Hoda,Ludwig,,Potschatek,Wenserin,Sabina,,Krems
82,7,1,1701,StA Krems VIII.2/14 (1701),2r,Hoda,Ludwig,,Potschatek,Werti,Johann Friedrich,,Krems
83,7,1,1701,StA Krems VIII.2/14 (1701),2r,Hoda,Ludwig,,Potschatek,Plesch,Bartholomäus,,Krems
84,7,1,1701,StA Krems VIII.2/14 (1701),2r,Hoda,Ludwig,,Potschatek,,,Unterschiedliche Parteien,Krems
85,7,1,1701,StA Krems VIII.2/14 (1701),2r,Hoda,Ludwig,,Potschatek,Riser,Johann Roman,,Krems
86,7,1,1701,StA Krems VIII.2/14 (1701),2r,Hoda,Ludwig,,Potschatek,,,Unterschiedliche Parteien,Stein
87,8,1,1701,StA Krems VIII.2/14 (1701),2r,Pock,Georg,,Schmiedeberg,Klaubenschalck,Johann,,Krems
88,8,1,1701,StA Krems VIII.2/14 (1701),2v,Pock,Georg,,Schmiedeberg,Abel,Andre,,Krems
89,8,1,1701,StA Krems VIII.2/14 (1701),2v,Pock,Georg,,Schmiedeberg,,,,
90,10,1,1701,StA Krems VIII.2/14 (1701),2v,Richter,Friedrich,,Schmiedeberg,Fröllich,Georg,,Eggenburg
91,10,1,1701,StA Krems VIII.2/14 (1701),2v,Richter,Friedrich,,Schmiedeberg,Gartner,Johann Jakob,,Sitzendorf
92,10,1,1701,StA Krems VIII.2/14 (1701),2v,Richter,Friedrich,,Schmiedeberg,Puchner,Johann,,Hohenwarth
93,10,1,1701,StA Krems VIII.2/14 (1701),2v,Richter,Friedrich,,Schmiedeberg,Waz,Joseph,,Krems
94,10,1,1701,StA Krems VIII.2/14 (1701),2v,Richter,Friedrich,,Schmiedeberg,Plesch,Bartholomäus,,Krems
95,10,1,1701,StA Krems VIII.2/14 (1701),3r,Richter,Friedrich,,Schmiedeberg,Riser,Johann Roman,,Krems
96,13,1,1701,StA Krems VIII.2/14 (1701),3r,Werti,Johann Friedrich,,Krems,,,Rathgeb & Co.,Wien
97,14,1,1701,StA Krems VIII.2/14 (1701),3r,Ulbrich,Heinrich,,Schmiedeberg,,,,
98,14,1,1701,StA Krems VIII.2/14 (1701),3r,Schmidt,Friedrich,,Schmiedeberg,,,,
99,16,1,1701,StA Krems VIII.2/14 (1701),3r,Hillebrandt,Peter,,Ried,,,,
100,16,1,1701,StA Krems VIII.2/14 (1701),3v,Peisser,Johann Georg,,Linz,,,,
101,17,1,1701,StA Krems VIII.2/14 (1701),3v,,,Wenzel Exner sel. Erben,Breslau,,,,
102,17,1,1701,StA Krems VIII.2/14 (1701),3v,Lorenz,Georg,,Schmiedeberg,Waz,Joseph,,Krems
103,17,1,1701,StA Krems VIII.2/14 (1701),3v,Lorenz,Georg,,Schmiedeberg,Plesch,Bartholomäus,,Krems
