Name,Herkunftsort,Region,Anzahl
Alexander Niller,Auerbach in der Oberpfalz,Bayern,2
Johann Michael Niller,Auerbach in der Oberpfalz,Bayern,2
Georg Prunner,Landshut,Bayern,1
Johann Gottlob Hess,Regensburg,Bayern,3
Johann Christoph Löschenkohl,Regensburg,Bayern,3
Erdmann Tech/Hess und Tech,Regensburg,Bayern,3
Johann Jakob Weiß,Brüx (tschechisch Most),Böhmen,1
Christoph Zimmermann,"Strašice (♁ 49° 44′ N, 13° 46′ O)",Böhmen,1
Johann Rudolf Schweighauser,Basel,Eidgenossenschaft,1
Dominico Vanossi,Chiavenna,Eidgenossenschaft,1
Daniel und Gaudenz Castelmur,Engadin,Eidgenossenschaft,1
Joseph de Trevano,Locarno,Eidgenossenschaft,1
Ludwig Anton Visconti,Lugano,Eidgenossenschaft,1
Lorenz Fels,St. Gallen,Eidgenossenschaft,1
Georg Götz,Erlabrunn,Franken,1
Johann Isaak Vareille,Erlangen,Franken,2
Georg Lehmann,Nürnberg,Franken,7
Noah Buirette/Gebrüder Buirette,Nürnberg,Franken,7
Johann Georg Sörgel,Nürnberg,Franken,7
Johann Cornelius Marci,Nürnberg,Franken,7
Peter Konrad Monath,Nürnberg,Franken,7
Paul Rößler,Nürnberg,Franken,7
Stephan Capieu,Erlangen,Franken,2
Johann Martin Esslinger,Nürnberg,Franken,7
Lorenz Stass,Visé,Lüttich (Hochstift),1
Peter Le Comte,Lüttich,Lüttich (Hochstift),1
Matthias Piller,Brünn,Mähren,1
"Johann Baptist Prestinari/""Franz Martinelli""",Proßnitz,Mähren,1
Martin Schwanner,Treskowitz,Mähren,1
Bernhard Schadt,Eggenburg,Niederösterreich,1
Joseph Christoph Naller,Gresten,Niederösterreich,1
Johann Michael Kienmayr,Jagenbach,Niederösterreich,1
Johann Jakob Damian,Kirchberg am Wagram,Niederösterreich,1
Franz Wintersteiner,Mistelbach an der Zaya,Niederösterreich,1
Anton Lang,Purgstall,Niederösterreich,1
Johann Michael Schadlbaur,Rafing (Pulkau),Niederösterreich,1
Johann Georg Dusel,Ravelsbach,Niederösterreich,1
Albrecht Zehetner,St. Pölten,Niederösterreich,2
Franz Anton Kallmünzer,St. Pölten,Niederösterreich,2
Johann Michael Peck,Stronsdorf,Niederösterreich,1
Thomas Wellner,Unterstinkenbrunn,Niederösterreich,1
Anton Cerletti,Wien,Niederösterreich,13
Franz Joseph Ferner,Wien,Niederösterreich,13
Johann Joseph Gnädl,Wien,Niederösterreich,13
Philipp Kofler,Wien,Niederösterreich,13
Ludwig und Leopold Liedl,Wien,Niederösterreich,13
Wolf Karl von Nideröst,Wien,Niederösterreich,13
Joseph Pingizer,Wien,Niederösterreich,13
Franz Teibler,Wien,Niederösterreich,13
Joseph Förschl,Wien,Niederösterreich,13
Franz Dellmor,Wien,Niederösterreich,13
Philipp Gundian Erben,Wien,Niederösterreich,13
Arnold Philipp de Wenzelli,Wien,Niederösterreich,13
Philipp Joseph Heimerl,Wien,Niederösterreich,13
Johann Zacher,Wolkersdorf,Niederösterreich,1
Matthias Hengsberger,Zaingrub (Rosenburg-Mold),Niederösterreich,1
Johann Friedrich Rottmann,Rinteln,Niederrhein-Westfalen,1
Ruprecht Traunpaur,Frankenmarkt,Oberösterreich,1
Johann Michael Rappenmoser,Garsten,Oberösterreich,1
Ferdinand Wührer,Neukirchen am Walde,Oberösterreich,1
Tobias Strauß,Sarleinsbach,Oberösterreich,1
Johann Peter Käpler,Schwanenstadt,Oberösterreich,1
Joseph Schwarzleithner,Steyr,Oberösterreich,1
Löw Sinzheim,Mannheim,Oberrhein,1
Bernhard Falquet/Falquet und Violand,Arâches-la-Frasse,Savoyen,1
Claudius Cheret,Sallanches,Savoyen,1
Johann Baptist Perinet,Megève,Savoyen,1
Georg Christoph Würth,Augsburg,Schwaben,3
Rad und Hößlin/Hößlin und Falk,Augsburg,Schwaben,3
Gebrüder Palm,Esslingen,Schwaben,1
Christian von Münch,Augsburg,Schwaben,3
Jakob Föhr/Föhr und Wanner,Kempten,Schwaben,1
Lorenz Pogner,Kirchdorf (Bad Wörishofen),Schwaben,1
Johann Lutz,Lindau,Schwaben,1
Joseph Karl Fuchs,Graz,Steiermark,1
Anton Negri,Arco,Tirol,1
Franz von Churfeld,Bozen,Tirol,1
Johann Georg Grones,Buchenstein,Tirol,1
Anton Mader,Hall in Tirol,Tirol,2
Anton Matthias Kircher,Hall in Tirol,Tirol,2
Leopold Pfefferl,Innsbruck,Tirol,1
Dominik Peternader,Kitzbühel,Tirol,1
Matthias Kössler,Margreid,Tirol,1
Hieronymus Rigotti,Mori bei Rovereto,Tirol,1
Johann de San Nicolo,Rovereto,Tirol,2
Dominik de San Nicola,Rovereto,Tirol,2
Jakob Mayr,Sillian,Tirol,1
Jakob Stockholzer,Sterzing,Tirol,1
Johann Rubacker,Forchtenau (Forchtenstein),Ungarn,1
Georg Wagner,Forchtenstein,Ungarn,2
Johann Wagner,Forchtenstein,Ungarn,2
Andre Mäzinger,Kleinhöflein,Ungarn,2
Matthias Ankerl,Kleinhöflein,Ungarn,2
Veit Müllnitsch,Neudorf,Ungarn,1
Matthias Kern,Ödenburg,Ungarn,1
Matthias Weißenbeck,Oggau,Ungarn,1
Georg Prenz,Pöttsching,Ungarn,1
Johann Georg Gengl,Pressburg,Ungarn,2
Daniel Wohlgemut,Pressburg,Ungarn,2
Franz Anton Geramb,Schemnitz,Ungarn,1
Johann Baptist Feroni,Castiglione delle Stiviere,Venedig,1
Carlo Barbieri,Fasano,Venedig,1
Joseph Barbieri,Padenghe sul Garda,Venedig,2
Johann Benedikt Cescotti,Padenghe sul Garda,Venedig,2
Johann Maria Amadei,Limone,Venedig,1
Bartholomäus Patuzzi,Limone sul Garda,Venedig,1
